"","FPKM.SRR25626852","FPKM.SRR25626853","FPKM.SRR25626854","FPKM.SRR25626855","FPKM.SRR25626856","FPKM.SRR25626857"
"LOC101205272",9.90192548633018,8.83226784647739,8.88030844794953,8.65975212197687,10.8189463659306,9.75105884384858
"LOC101205273",7.668352,7.201936,7.152784,22.168516,19.702482,19.505033
"LOC101205274",59.141129,57.997444,51.460747,107.565948,110.957932,117.769875
"LOC101205275",6.75879752058658,5.85727931387479,6.78201187422448,9.65901334010152,10.1010927013536,9.22234049153976
"LOC101205276",0.47457,0.63374,0.298736,1.212105,0.929389,1.278117
"LOC101205277",0.724663,0.895459,0.884622,2.477574,2.157001,2.177763
"LOC101205278",16.921595,19.812626,16.132311,24.020096,24.587154,23.685179
"LOC101205279",2.90551,3.00007,2.637321,5.295407,5.392878,5.14259
"LOC101205280",5.24142955924171,5.461009,5.756177,9.82963,8.53620922037915,10.4512614810427
"LOC101205281",0,0.165369,0.354242,1.381492,0.955055,0.975672
"LOC101205282",0,0,0,0,0.171669,0
"LOC101205283",15.478,15.318034,13.822255,8.8803,8.121302,8.860576
"LOC101205284",111.853317,115.042084,103.850319,56.732983,53.72237,53.479034
"LOC101205285",0.378948,0.479026,0.600539,1.24645,0.801026,1.239292
"LOC101205286",0.675418,0.399733,0.463376,5.000423,5.11967,5.880382
"LOC101205287",26.821512,25.120171,24.247334,18.92079,19.314537,21.462677
"LOC101205288",1.173875,1.241359,1.218923,1.795025,1.912796,1.534077
"LOC101205290",17.858938,23.431608,22.373831,66.594109,73.752052,67.35701
"LOC101205291",4.739956,5.716077,5.828901,10.857284,10.459063,10.094337
"LOC101205292",11.526283,13.326941,12.716121,20.773966,19.883472,20.302565
"LOC101205293",2.971943,2.391022,2.281878,6.885637,7.254679,6.33212
"LOC101205294",18.435795,15.638081,14.598536,21.496918,22.202875,20.828146
"LOC101205295",11.1461,11.465433,12.79705,14.804388,15.37659,15.130816
"LOC101205296",38.9134537540907,37.2086151248247,33.481805999065,65.8210781991585,64.9274156746143,69.4442406619916
"LOC101205298",18.8662727810174,19.5280984764268,22.0579158052109,71.5634574509926,74.4006412822581,66.5963455614144
"LOC101205299",0.568243,0.796125,1.11662,3.921008,4.166951,4.39547
"LOC101205301",6.548294,7.20369,6.55703,15.659574,15.319685,16.168356
"LOC101205302",159.886169,155.048386,149.737976,224.778687,233.209152,218.682999
"LOC101205303",11.127822,9.865834,9.386484,15.549114,16.18206,17.718866
"LOC101205304",1.079184,0.979162,1.20109,1.767632,2.32128,1.377402
"LOC101205305",93.069122,88.853203,84.838615,55.221916,51.980286,54.743572
"LOC101205306",13.09216,13.964179,12.868745,19.792988,19.238884,20.422991
"LOC101205310",3.199978,2.995981,2.716272,7.537349,7.900405,9.318923
"LOC101205312",0,0,0,0,0,0
"LOC101205313",7.45854701807229,8.58351546837349,7.58655977911647,7.31724275301205,6.6016288438755,7.81022624096386
"LOC101205314",0.225065,0,0,0.524495,0.618113,0.486331
"LOC101205315",0.202814125506073,0.221160136639676,0,0.825570480769231,1.12701021052632,0.758631270242915
"LOC101205316",101.197207951645,103.174555175329,101.624215523026,144.129486643421,152.055632173026,137.805463244737
"LOC101205317",34.803394,31.795679,30.385174,8.352351,7.033463,7.625429
"LOC101205318",3.066069,2.085584,1.646578,2.57724,2.032828,2.61131
"LOC101205319",8.26179,7.427899,7.610013,10.934027,10.883895,10.325676
"LOC101205320",5.892027,6.33214,7.528659,7.21975,5.949039,6.325868
"LOC101205321",20.269701,20.615206,15.810529,48.941792,48.557148,67.288292
"LOC101205322",1.873507,1.418723,2.083699,1.147595,0.814572,1.179748
"LOC101205323",0.993372,0.887888,0.75591,1.674375,1.360818,1.233781
"LOC101205324",1.454702,2.595457,4.462651,8.981704,9.090837,8.569334
"LOC101205325",15.1521049460888,13.3904054059197,13.0214734915433,37.1061821099366,37.6691657399577,34.3034516131078
"LOC101205326",0,0,0,0,0,0
"LOC101205327",0,0,0,0,0,0
"LOC101205328",0.280517,0.316824,0.392216,1.150473,1.315263,1.298479
"LOC101205329",44.717175,38.954983,42.116924,26.181898,25.770739,29.027327
"LOC101205330",24.675385,20.058708,21.729746,19.610762,18.537008,19.78303
"LOC101205331",57.4382048245614,53.4223789020939,55.802219901528,34.7193545783814,33.0503462354273,30.9984561035654
"LOC101205332",91.481392,77.202209,87.151001,15.524757,14.854179,16.003632
"LOC101205333",1.464174,1.905694,1.339018,8.105455,7.906034,7.439103
"LOC101205334",54.025253,55.434479,59.105152,48.102909,52.800846,48.459
"LOC101205335",3.99122,13.182582,4.356234,63.685642,67.371948,61.89764
"LOC101205336",17.43228,18.189413,18.399645,23.771944,22.986355,20.616156
"LOC101205337",113.398392,116.642853,122.829628,232.370071,236.040634,214.276703
"LOC101205338",113.661922518035,96.5485509266169,97.9244073768657,63.9303897661692,59.2231592475124,71.0204444751244
"LOC101205339",0,0,0,0,0,0
"LOC101205341",1.003663,0.922291,0.999908,3.991033,4.660052,3.788847
"LOC101205342",0,0,0,0,0,0
"LOC101205343",2.984353,3.424793,3.371695,5.473698,5.326776,5.270933
"LOC101205344",0.344254,0.526814,0.672984,0.317367,0.594359,0.440368
"LOC101205345",27.804848,28.291487,32.458443,19.165188,17.999838,16.351557
"LOC101205346",29.4352327951648,29.9650814479121,30.4823046804396,25.6122551806593,22.6501632347253,23.4713919375824
"LOC101205347",0.55856,1.879448,0.407682,0.379409,0.278947,0.179897
"LOC101205349",0.358772,0.580096,0.332358,1.828498,2.460044,2.402579
"LOC101205350",22.6361972353718,23.7825245323361,24.3697420637923,48.3198799115706,52.836477791465,46.2137839850418
"LOC101205351",0,0,0,0.396721,0.405444,0.304687
"LOC101205353",0.984027,0.977102,0.899635,0,0,0.193291
"LOC101205355",24.701891,23.934834,25.521963,48.107349,49.38512,45.917591
"LOC101205356",2.1798543431488,2.97427503494307,2.78326106399686,3.19586125873577,2.69533592108363,3.33799880172752
"LOC101205357",0.787391,0.633642,0.655004,1.801486,2.163074,1.725368
"LOC101205358",11.827608,11.495779,13.883973,31.119276,32.146378,26.079905
"LOC101205359",19.0256487158358,17.7015913832845,18.3732362788856,21.9510885639296,21.4778241662757,22.0789710771261
"LOC101205360",17.163773,17.91242,16.928667,38.882874,39.061722,36.223148
"LOC101205361",16.466135,40.404766,24.854523,4.521402,5.626234,3.121664
"LOC101205362",5.507269,4.274031,1.742826,0.656706,0.740374,0.210006
"LOC101205363",153.060883,114.24044,121.263916,27.200392,25.61853,24.237097
"LOC101205364",99.7818661518765,85.1184925201684,93.7043272360575,54.8273306639776,53.5914303549632,55.5707719003858
"LOC101205365",0,0.242279,0.277012,0.673311,0.63074,0.434341
"LOC101205367",0,0,0,1.64256,2.065576,1.775142
"LOC101205368",1.124511,0.930313,1.052225,1.023697,0.930515,1.279028
"LOC101205369",1.266233,1.225281,0.988022,2.884521,2.440963,2.831783
"LOC101205370",3.38852,2.849388,3.51712,2.358036,2.094548,2.301262
"LOC101205371",8.97228140431267,8.86235874663073,9.50029214824798,11.8372237978437,13.0551567115903,11.5522858409703
"LOC101205372",14.416821,14.538232,17.638449,25.974379,23.795496,29.348757
"LOC101205373",4.024062,4.008804,3.386567,10.161667,9.30282,10.413453
"LOC101205374",0,0,0,0,0,0
"LOC101205375",3.7830424200107,3.02081174906367,3.70278374478331,3.72505685928304,4.69582249973248,4.02256386623863
"LOC101205376",59.988777,62.112816,62.128216,171.992203,166.427673,170.338333
"LOC101205377",1.121328,1.285478,0.919404,2.377775,2.505507,2.541748
"LOC101205378",13.415821,12.751653,13.68047,24.755682,26.570665,25.143698
"LOC101205379",0.564409,0.525775,0.579758,1.970468,2.383519,2.339923
"LOC101205380",41.14481,43.110985,51.028229,70.109413,73.136284,64.405365
"LOC101205381",1.197457,1.484719,0.970004,7.013029,7.304378,7.398218
"LOC101205382",4.62282837435233,6.6728715738342,7.73032408678757,12.7558441981865,13.6618007292746,9.6681730880829
"LOC101205383",0.313607,0.372589,0.233287,0.64132,1.046027,0.772854
"LOC101205384",0,0,0,0,0,0
"LOC101205385",193.229507,269.941437,175.554749,27.508171,27.21163,28.263334
"LOC101205386",33.578136,33.042263,33.865032,6.565229,7.529538,6.558146
"LOC101205388",36.594269,76.321053,31.054747,276.052185,304.575958,312.740814
"LOC101205389",0,0.259677,0,0,0,0
"LOC101205390",14.997265,12.309772,12.303531,19.482561,15.9767,18.231176
"LOC101205391",0,0,0,0,0,0
"LOC101205392",36.5655653578464,34.2133696717006,36.9404225607354,11.033271674327,11.7891275443204,10.1107788443861
"LOC101205393",0,0,0,0,0,0
"LOC101205394",28.223442,29.527292,27.947153,48.729843,49.062286,50.923389
"LOC101205397",0.438999,0.326346,0,0.201194,0.188695,0
"LOC101205399",75.320831,67.080971,67.639816,38.561913,37.260601,40.796131
"LOC101205400",19.513088,15.403803,17.429394,29.83812,30.467039,27.44173
"LOC101205401",29.145704,29.004423,28.016783,19.49448,19.005644,19.536865
"LOC101205403",43.015244,145.635452,26.870995,0.353627,0.587685,0.530738
"LOC101205404",0,0,0,0,0,0
"LOC101205405",8.890784,9.539772,9.729689,16.51424,15.882431,15.197173
"LOC101205406",48.6089958928438,42.3608379138254,43.3002075953541,66.4047856346946,67.4207964046459,71.1545242405395
"LOC101205407",20.943233,21.620411,13.939829,92.31147,91.454819,88.967651
"LOC101205408",0.179714,0.374694,0.310108,1.007931,1.040027,0.799176
"LOC101205409",0.720518,0.625038,0.721901,0.919572,1.109015,1.412336
"LOC101205410",1.114155,0.794948,0.871791,0.33323,0.480791,0.549458
"LOC101205411",0,0,0,0,0,0
"LOC101205412",0.54206,0.494662,0.415746,2.808002,3.755969,3.027371
"LOC101205413",0.875916083916084,0.49273986013986,0.46349900591716,1.37557727595481,0.986795586874664,1.59800288111888
"LOC101205414",0,0,0,0,0,0
"LOC101205415",2.145096,1.7178,2.128732,1.285204,0.890904,0.752009
"LOC101205416",22.586292,20.134674,21.217361,19.386671,18.865499,21.104689
"LOC101205417",16.7858682330689,15.3468634161074,16.8143355411836,12.6348636259915,11.3285734026846,9.9331989847468
"LOC101205418",7.82987849274554,7.76280167578125,7.97775671484375,10.1128228359375,10.3997138242188,7.97267048549107
"LOC101205419",0.346344,0.664316,0.325251,1.461135,1.380171,1.366315
"LOC101205420",2.357976,2.794233,2.287439,4.054903,5.928463,4.928462
"LOC101205421",0,0,0,0,0,0
"LOC101205422",21.287954,28.269419,22.142227,22.530066,22.043079,24.03264
"LOC101205423",0,0.249429,0,0,0,0
